Old_Icon_V4,New_Icon_V6,New_Icon_Prefix,New_Icon_UniCode
compress,down-left-and-up-right-to-center,fa-solid,f422
connectdevelop,connectdevelop,fa-brands,f20e
contao,contao,fa-brands,f26d
copyright,copyright,fa-regular,f1f9
creative-commons,creative-commons,fa-brands,f25e
credit-card,credit-card,fa-regular,f09d
credit-card-alt,credit-card,fa-solid,f09d
css3,css3,fa-brands,f13c
cutlery,utensils,fa-solid,f2e7
dashboard,gauge,fa-solid,f625
dashcube,dashcube,fa-brands,f210
deafness,ear-deaf,fa-solid,f2a4
dedent,outdent,fa-solid,f03b
delicious,delicious,fa-brands,f1a5
deviantart,deviantart,fa-brands,f1bd
diamond,gem,fa-regular,f3a5
digg,digg,fa-brands,f1a6
dollar,dollar-sign,fa-solid,24
dot-circle-o,circle-dot,fa-regular,f192
dribbble,dribbble,fa-brands,f17d
drivers-license,id-card,fa-solid,f2c2
drivers-license-o,id-card,fa-regular,f2c2
dropbox,dropbox,fa-brands,f16b
drupal,drupal,fa-brands,f1a9
edge,edge,fa-brands,f282
eercast,sellcast,fa-brands,f2da
empire,empire,fa-brands,f1d1
envelope-o,envelope,fa-regular,f0e0
envelope-open-o,envelope-open,fa-regular,f2b6
envira,envira,fa-brands,f299
etsy,etsy,fa-brands,f2d7
eur,euro-sign,fa-solid,f153
euro,euro-sign,fa-solid,f153
exchange,right-left,fa-solid,f362
expand,up-right-and-down-left-from-center,fa-solid,f424
expeditedssl,expeditedssl,fa-brands,f23e
external-link,up-right-from-square,fa-solid,f35d
external-link-square,square-up-right,fa-solid,f360
eye,eye,fa-regular,f06e
eye-slash,eye-slash,fa-regular,f070
eyedropper,eye-dropper,fa-solid,f1fb
fa,font-awesome,fa-brands,f2b4
facebook,facebook-f,fa-brands,f39e
facebook-f,facebook-f,fa-brands,f39e
facebook-official,facebook,fa-brands,f09a
facebook-square,facebook-square,fa-brands,f082
feed,rss,fa-solid,f09e
file-archive-o,file-zipper,fa-regular,f1c6
file-audio-o,file-audio,fa-regular,f1c7
file-code-o,file-code,fa-regular,f1c9
file-excel-o,file-excel,fa-regular,f1c3
file-image-o,file-image,fa-regular,f1c5
file-movie-o,file-video,fa-regular,f1c8
file-o,file,fa-regular,f15b
file-pdf-o,file-pdf,fa-regular,f1c1
file-photo-o,file-image,fa-regular,f1c5
file-picture-o,file-image,fa-regular,f1c5
file-powerpoint-o,file-powerpoint,fa-regular,f1c4
file-sound-o,file-audio,fa-regular,f1c7
file-text,file-lines,fa-solid,f15c
file-text-o,file-lines,fa-regular,f15c
file-video-o,file-video,fa-regular,f1c8
file-word-o,file-word,fa-regular,f1c2
file-zip-o,file-zipper,fa-regular,f1c6
files-o,copy,fa-regular,f0c5
firefox,firefox,fa-brands,f269
first-order,first-order,fa-brands,f2b0
flag-o,flag,fa-regular,f024
flash,bolt,fa-solid,f0e7
flickr,flickr,fa-brands,f16e
floppy-o,floppy-disk,fa-regular,f0c7
folder-o,folder,fa-regular,f07b
folder-open-o,folder-open,fa-regular,f07c
font-awesome,font-awesome,fa-brands,f2b4
fonticons,fonticons,fa-brands,f280
fort-awesome,fort-awesome,fa-brands,f286
forumbee,forumbee,fa-brands,f211
foursquare,foursquare,fa-brands,f180
free-code-camp,free-code-camp,fa-brands,f2c5
frown-o,face-frown,fa-regular,f119
futbol-o,futbol,fa-regular,f1e3
gbp,sterling-sign,fa-solid,f154
ge,empire,fa-brands,f1d1
gear,gear,fa-solid,f013
gears,gears,fa-solid,f085
get-pocket,get-pocket,fa-brands,f265
gg,gg,fa-brands,f260
gg-circle,gg-circle,fa-brands,f261
git,git,fa-brands,f1d3
git-square,git-square,fa-brands,f1d2
github,github,fa-brands,f09b
github-alt,github-alt,fa-brands,f113
github-square,github-square,fa-brands,f092
gitlab,gitlab,fa-brands,f296
gittip,gratipay,fa-brands,f184
glass,martini-glass-empty,fa-solid,f000
glide,glide,fa-brands,f2a5
glide-g,glide-g,fa-brands,f2a6
google,google,fa-brands,f1a0
google-plus,google-plus-g,fa-brands,f0d5
google-plus-circle,google-plus,fa-brands,f2b3
google-plus-official,google-plus,fa-brands,f2b3
google-plus-square,google-plus-square,fa-brands,f0d4
google-wallet,google-wallet,fa-brands,f1ee
